"","wkt_geom","respno","country","country_nm","intvno","decno","region","location_l","location_1","location_2","location_3","location_4","location_5","townvill","y","x","loc","f31","f32","f33","near_fid"
"1","POINT(-8.43222800000000028 6.86639700000000008)","LIB1073",8,"LIBERIA","LIB33","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"2","POINT(-8.43222800000000028 6.86639700000000008)","LIB1074",8,"LIBERIA","LIB33","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"3","POINT(-8.43222800000000028 6.86639700000000008)","LIB1075",8,"LIBERIA","LIB35","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"4","POINT(-8.43222800000000028 6.86639700000000008)","LIB1076",8,"LIBERIA","LIB32","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"5","POINT(-8.43222800000000028 6.86639700000000008)","LIB1077",8,"LIBERIA","LIB32","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"6","POINT(-8.43222800000000028 6.86639700000000008)","LIB1078",8,"LIBERIA","LIB34","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"7","POINT(-8.43222800000000028 6.86639700000000008)","LIB1079",8,"LIBERIA","LIB34","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"8","POINT(-8.43222800000000028 6.86639700000000008)","LIB1080",8,"LIBERIA","LIB35","LIB2",391,"BUU-YAO",NA,NA,NA,"NA","NA","BUNTUO",6.8663969039917,-8.43222808837891,1,NA,NA,NA,0
"9","POINT(-8.44182699999999997 7.34748499999999982)","LIB0976",8,"LIBERIA","LIB65","LIB1",391,"GBEHLAY-GEH",NA,NA,NA,"NA","NA","BYEAVOR",7.34748506546021,-8.44182682037354,1,NA,NA,NA,0
"10","POINT(-9.50338099999999919 6.39582500000000032)","LIB0185",8,"LIBERIA","LIB13","LIB4",383,"DISTRICT #3",NA,NA,NA,"NA","NA","C.D. CAMP",6.39582490921021,-9.50338077545166,1,NA,NA,NA,0
"11","POINT(-9.50338099999999919 6.39582500000000032)","LIB0186",8,"LIBERIA","LIB14","LIB4",383,"DISTRICT #3",NA,NA,NA,"NA","NA","C.D. CAMP",6.39582490921021,-9.50338077545166,1,NA,NA,NA,0
