DHSID,ncc4_2013e
LB201300000002,0
LB201300000003,0
LB201300000005,0.724137931
LB201300000006,0
LB201300000008,3.35042735
LB201300000009,0
LB201300000010,0
LB201300000012,0.318965517
LB201300000013,0
LB201300000017,0
LB201300000018,0
LB201300000023,0.210526316
LB201300000025,0
LB201300000026,0
LB201300000027,0
LB201300000028,0
LB201300000030,0
LB201300000031,0
LB201300000032,0
LB201300000033,0
LB201300000035,0
LB201300000036,0
LB201300000037,2.017241379
LB201300000038,0
LB201300000041,0
LB201300000042,0
LB201300000043,0
LB201300000045,0
LB201300000047,0
LB201300000048,0.256410256
LB201300000049,0
LB201300000051,0
LB201300000052,0
LB201300000053,0
LB201300000054,0
LB201300000056,0
LB201300000058,0
LB201300000059,0
LB201300000060,0
LB201300000061,0
LB201300000062,0
LB201300000064,0
LB201300000065,0
LB201300000067,0
LB201300000068,0
LB201300000070,0
LB201300000072,0
LB201300000073,0
LB201300000074,0
LB201300000075,0
LB201300000076,0
LB201300000077,0
LB201300000078,0
LB201300000079,0
LB201300000081,0
LB201300000083,0
LB201300000084,0
LB201300000085,3.113043478
LB201300000086,0
LB201300000089,0
LB201300000090,0
LB201300000091,0
LB201300000092,0
LB201300000093,0
LB201300000096,0
LB201300000099,0.208695652
LB201300000100,0
LB201300000101,0
LB201300000105,0
LB201300000106,0
LB201300000107,0
LB201300000110,0
LB201300000112,0.517241379
LB201300000114,0
LB201300000116,0
LB201300000117,0
LB201300000120,0
LB201300000121,0
LB201300000122,0
LB201300000124,0
LB201300000125,0
LB201300000129,2.603448276
LB201300000130,0
LB201300000131,0
LB201300000134,0
LB201300000135,12.78632479
LB201300000136,0
LB201300000137,0.586206897
LB201300000138,0
LB201300000139,1.384615385
LB201300000142,0
LB201300000145,2.223214286
LB201300000147,0
LB201300000149,0
LB201300000150,0
LB201300000151,0
LB201300000152,0
LB201300000153,0
LB201300000155,0
LB201300000156,0
LB201300000157,0
LB201300000159,0.417391304
LB201300000160,0
LB201300000161,0.405172414
LB201300000163,0
LB201300000165,0
LB201300000167,0
LB201300000168,0
LB201300000169,0.051724138
LB201300000170,0
LB201300000173,0
LB201300000175,0.203389831
LB201300000176,0
LB201300000177,0
LB201300000179,0
LB201300000181,0
LB201300000183,0
LB201300000184,0
LB201300000186,0
LB201300000187,0
LB201300000189,0
